fase;titulo;status;depende_de;requer_humano;notificar;gate_extra;modelo;tentativas;custo_usd;concluido_em;observacao
0;Fundação do repositório e build mínimo;concluida;;nao;nao;;;1;2.00;2026-07-15 22:46;ok — custo US$ 2.00
1a;Camada de banco e framework de migrações;concluida;0;nao;nao;;;1;2.89;2026-07-15 22:55;ok — custo US$ 2.89
1b;Servidor HTTP e serve com health;concluida;0;nao;nao;;;1;3.21;2026-07-15 23:04;ok — custo US$ 3.21
1c;CRUD de projetos (API + store);concluida;1a+1b;nao;nao;;;1;3.79;2026-07-15 23:13;ok — custo US$ 3.79
1d;CRUD de motores e contas;concluida;1a+1b;nao;nao;;;1;4.28;2026-07-15 23:23;ok — custo US$ 4.28
1e;Config em camadas (global → override por projeto);concluida;1a+1c;nao;nao;;;1;4.17;2026-07-15 23:33;ok — custo US$ 4.17
1f;Porte de internal/motor;concluida;1a;nao;nao;;;1;6.03;2026-07-15 23:47;ok — custo US$ 6.03
1g;Porte de internal/gitops;concluida;0;nao;nao;;;1;5.25;2026-07-16 00:03;ok — custo US$ 5.25
1h;Shell da UI web (projetos, motores, config);concluida;1c+1d+1e;nao;sim;;;2;2.13;2026-07-16 06:30;ok — custo US$ 2.13
2a;Schema de demandas, fases, execuções e eventos;concluida;1a;nao;nao;;;2;4.97;2026-07-16 06:43;ok — custo US$ 4.97
2b;Porte de pipeline/fallback para ContextoExec;concluida;1f+1g+2a;nao;nao;;;1;7.05;2026-07-16 07:00;ok — custo US$ 7.05
2c;Gates com semáforo global;concluida;2b;nao;nao;;;1;3.26;2026-07-16 07:08;ok — custo US$ 3.26
2d;Scheduler e worker pool com limites;concluida;2a+2b;nao;nao;;;1;5.01;2026-07-16 07:23;ok — custo US$ 5.01
2e;Worktree e branch por demanda com ciclo de fase;concluida;1g+2b;nao;nao;;;1;5.05;2026-07-16 07:34;ok — custo US$ 5.05
2f;Push automático da branch (tolerante a falha);concluida;2e;nao;nao;;;1;4.93;2026-07-16 07:47;ok — custo US$ 4.93
2g;Demanda manual executa em background;concluida;2c+2d+2e;nao;sim;;;1;9.73;2026-07-16 08:09;ok — custo US$ 9.73
2h;Card da demanda com fases e log ao vivo (SSE);concluida;1h+2g;nao;nao;;;3;2.82;2026-07-16 21:23;ok — custo US$ 2.44
2i;Pausar/retomar/cancelar e retomada pós-restart;concluida;2d+2g;nao;sim;;;2;2.59;2026-07-16 22:04;ok — custo US$ 2.59
.3a;Chat da demanda persistido e nova demanda;concluida;1a+1h;nao;nao;;;1;6.94;2026-07-16 22:19;ok — custo US$ 6.94
3b;Analista (perguntas readonly);concluida;3a+1f;nao;nao;;;1;17.73;2026-07-16 22:47;ok — custo US$ 17.73
3c;Planejador (plano + fases) e aprovação;concluida;3b+2a;nao;sim;;;1;;2026-07-17;"Fecha o M3 (fluxo ponta a ponta). Prompt planejador embutido; PUT /phases + POST /approve-plan; rejeitar-com-comentário → replanejar. Já estava concluída no repo (commit 3c)."
4a;Kanban com SSE;concluida;1h+2a;nao;nao;;;1;;2026-07-17;"GET /board (progresso+motor), PUT /demands/ordem (arraste reordena prioridade), GET /events (SSE global). View Kanban com colunas por status e badges."
4b;Home com métricas e 'Precisa de você';concluida;1h+2a;nao;nao;;;1;;2026-07-17;"db.ResumoHome direto das tabelas (metrics_dia não é pré-requisito); GET /metrics, /pendencias, /activity. View Home com tiles, gráfico, tabela por projeto e atividade SSE."
4c;Fechamento modo merge_request;concluida;2f+2g;nao;sim;;;1;;2026-07-17;"GET /merge-preview (commits, conflito, link MR GitHub/GitLab); ação publicar_branch; aba Integração no card."
4d;Fechamento merge_local, conflito e atualizar branch;concluida;1g+2g;nao;nao;;;1;;2026-07-17;"Ação integrar (merge --no-ff com preview) e atualizar_branch (merge da main no worktree); conflito → status conflito + arquivos (409)."
4e;Limpeza pós-integração e notificações;concluida;4c+4d;nao;sim;;;1;;2026-07-17;"Fim do M4. Limpeza de worktree/branch pós-integração (+ reconciliação MR); pacote internal/notify (Telegram/Discord/Slack/Google Chat) com despachante de eventos wired no serve."
5a;API de intake para sistema de chamados (tokens/papéis);concluida;3b;nao;sim;;;1;;2026-07-17;"Migração v5 api_tokens (só hash); auth.go com middleware comAuth (leitor/operador/admin); POST/DELETE /tokens; intake automatizado conduz até aguardando_respostas."
5b;Manual embutido;concluida;1h;nao;nao;;;1;;2026-07-17;"8 seções markdown embutidas (//go:embed); GET /api/v1/manual e /manual/{slug}; view Manual com renderer mínimo."
5c;Badge de sobreposição entre demandas;concluida;1g+4a;nao;nao;;;1;;2026-07-17;"arquivos_provaveis (meta do analista) ∪ git diff --name-only; GET /overlaps e /demands/{id}/overlap; badges no kanban e no card."
5d;Serviço Windows, retenção e backup;concluida;1a+1b;sim;nao;;;1;;2026-07-17;"Automatizável entregue e testado: db.BackupPara (VACUUM INTO), rotação, retenção de logs/eventos, loop de manutenção no serve; subcomando praxis service gera unit systemd / sc.exe. Registro efetivo como serviço exige admin (manual)."
5e;Importador opcional do Praxis atual;concluida;1a+1c;nao;sim;;;1;;2026-07-17;"Pacote internal/importador (autopilot.json + fases.csv → projeto/config, idempotente); subcomando praxis import. Opcional (ativação é decisão de negócio)."
2g.n1;Wiring do scheduler no serve com prompts do pipeline;concluida;2g;nao;nao;;;1;;2026-07-17;"FUNDAMENTAL: fecha a lacuna mecanismo→produto. Prompts executor/corretor/revisor embutidos (adaptados p/ plano inline, sem editar arquivo, sem commit); intake.ProvedorPrompt; gates por projeto via cfg.Gates→RunnerGates por fase; scheduler.Novo wired no serve + passado à API como ControladorExecucao (pausar/cancelar ao vivo). Demanda aprovada agora executa sozinha em background."
1a.n1;Persistência do espelho de franquia em engine_accounts;avaliar viabilidade;1a;sim;nao;;;;;;"Sobrepõe-se ao trabalho de franquia das Fases 2b/2d; por isso valor baixo (o sistema opera sem ela, apenas re-detecta o esgotamento em runtime após restart). Um humano deve decidir se cria fase dedicada ou dobra o item nos checklists de 2b/2d. Correto ter sido deixado fora da 1a: não pertence ao schema núcleo desta fase."
1c.n1;Centralizar detecção de repo git no gitops;avaliar viabilidade;1c;sim;nao;;;;;;"Registrado pelo próprio executor na subseção Pendências descobertas da Fase 1c; o código atual funciona e é testado — trata-se de débito de manutenção (lógica duplicada) que naturalmente será pago ao portar o gitops."
1e.n1;Validação de tipo/valor das chaves conhecidas de config;avaliar viabilidade;1e;sim;nao;;;;;;"Hoje a config é key→valor JSON livre por decisão de projeto; um budget_usd:""abc"" ou gates:{} é aceito e só quebraria no consumidor (scheduler). Melhoria defensiva de qualidade de dado no ponto de escrita — o plano funciona sem ela, por isso valor baixo."
1f.n1;Teste end-to-end do codex.Rodar com stub de processo;avaliar viabilidade;1f;sim;nao;;;;;;"codex nunca teve testes no repo de origem; esta é cobertura nova, não porte. Análoga aos stubs já existentes de claude/opencode."
1f.n2;Sink de progresso dos motores para observabilidade estruturada;avaliar viabilidade;1f;sim;nao;;;;;;"Pendência registrada pelo executor no Registro de Andamento de 1f; é refinamento de observabilidade, não bloqueia o pipeline."
